;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;21
624;MYPK4;31,79;7,57;1,36;0,329;0,00%;0,361;2,78;4,15;-1,80;7,80;5,34;7,94%;4,97%;1,34;11,59%;17,95%;0,00;3.597.670.000,00;1,58;13,02%;
625;PRIO3;21,22;7,59;2,79;3,554;0,00%;1,456;3,17;6,60;28,15;6,38;4,83;53,84%;46,82%;7,52;39,65%;36,71%;461.351.000,00;6.722.950.000,00;0,72;71,83%;
626;DPPI4;38,90;7,62;2,28;-0,665;0,00%;1,718;3,98;87,28;4,46;73,74;73,74;-0,76%;-5,04%;3,14;3,00%;29,97%;0,00;545.227.000,00;0,06;15,14%;
627;CCTU4;37,28;7,65;0,92;0,307;0,00%;0,405;2,29;14,56;-28,32;21,77;21,77;2,10%;4,00%;1,48;2,96%;12,07%;0,00;82.550.000,00;0,48;12,54%;
628;SOND5;43,99;7,67;1,66;1,131;15,08%;1,171;3,22;6,04;4,14;4,32;3,93;18,73%;14,76%;2,69;29,30%;21,69%;1.017,44;65.022.000,00;0,00;16,94%;
629;TPIS3;1,17;7,67;0,24;0,208;1,60%;0,069;-0,52;16,84;-0,11;150,62;5,47;1,24%;2,92%;0,26;0,43%;3,08%;680.646,00;872.299.000,00;1,93;-8,75%;
630;CPRE3;18,23;7,68;1,84;3,113;0,00%;0,878;-69,29;5,53;-2,38;6,10;4,84;56,28%;41,23%;0,92;17,73%;23,95%;0,00;5.883.390.000,00;0,39;15,09%;
631;CGAS5;121,50;7,71;18,41;1,239;14,78%;1,248;9,58;6,00;-2,54;8,21;7,04;20,64%;16,08%;1,42;26,78%;238,81%;130.153,00;874.785.000,00;8,46;18,67%;
632;WHRL3;4,65;7,72;3,46;0,613;8,46%;0,827;41,04;8,16;-19,91;7,97;6,50;7,50%;7,95%;1,03;23,46%;44,88%;33.763,00;2.017.060.000,00;0,58;9,66%;
633;GUAR3;7,45;7,78;0,72;0,482;7,12%;0,264;1,40;16,48;-9,16;24,77;7,09;2,93%;6,20%;1,45;1,99%;9,26%;10.520.300,00;5.161.840.000,00;0,71;0,69%;
